Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-865b,,0.222,14.16399294,,,transit,2170,0.93,5570,[56]
Kepler-866b,,0.145,2.61703254,,,transit,2300,0.75,4751,[56]
Kepler-867b,,0.414,150.242127,,,transit,2690,0.92,5541,[56]
Kepler-868b,,0.183,5.03251791,,,transit,4140,0.93,5614,[56]
Kepler-869b,,0.322,40.4287755,,,transit,3120,0.97,5664,[56]
Kepler-870b,,0.248,21.3587621,,,transit,4010,1.01,5857,[56]
Kepler-871b,,0.334,22.0459018,,,transit,5530,1.11,5993,[56]
Kepler-872b,,0.178,2.57885507,,,transit,3630,1.05,5902,[56]
Kepler-873b,,0.335,20.5533844,,,transit,4560,1.18,6163,[56]
Kepler-874b,,0.352,40.0686727,,,transit,3500,1.09,6020,[56]
Kepler-875b,,0.259,27.5073799,,,transit,4060,1.06,5958,[56]
Kepler-876b,,0.128,5.14438011,,,transit,2400,0.81,5060,[56]
Kepler-877b,,0.189,18.45847097,,,transit,1870,0.85,5261,[56]
Kepler-878b,,0.172,25.9422033,,,transit,1850,0.81,5044,[56]
Kepler-879b,,0.229,33.3855938,,,transit,2520,1.02,5792,[56]
Kepler-880b,,0.237,7.71468975,,,transit,2200,1.46,6761,[56]
Kepler-881b,,0.159,4.44448017,,,transit,4450,1.06,5961,[56]
Kepler-882b,,0.11,3.98953967,,,transit,1710,0.9,5476,[56]
Kepler-883b,,0.159,12.98495573,,,transit,1790,1.06,6116,[56]
Kepler-884b,,0.11,5.69919514,,,transit,1400,1,5715,[56]
Kepler-885b,,0.223,18.11472949,,,transit,2060,1.21,6187,[56]
Kepler-886b,,0.136,6.24146367,,,transit,2800,1.1,6098,[56]
Kepler-887b,,0.164,20.42228798,,,transit,2710,1.19,6194,[56]
Kepler-887c,,0.101,7.63846023,,,transit,2710,1.19,6194,[56]
Kepler-888b,,0.157,70.6979061,,,transit,1350,0.97,5875,[56]
Kepler-889b,,0.097,3.744439,,,transit,1670,1.14,5961,[56]
Kepler-890b,,0.793,52.75875577,,,transit,4520,1.09,5954,[56]
Kepler-891b,,0.572,53.44945593,,,transit,4470,1.06,5887,[56]
Kepler-892b,,0.251,13.7521072,,,transit,2100,0.75,4747,[56]
Kepler-893b,,0.27,6.33855761,,,transit,3970,1,5820,[56]
Kepler-894b,,0.248,9.803224,,,transit,3600,0.87,5603,[56]
Kepler-895b,,0.137,2.80624233,,,transit,1680,0.65,4315,[56]
Kepler-896b,,0.226,144.547396,,,transit,2920,0.84,5262,[56]
Kepler-897b,,0.213,8.0472642,,,transit,3740,1.03,5839,[56]
Kepler-898b,,0.133,5.8706191,,,transit,1560,0.65,4223,[56]
Kepler-899b,,0.239,19.17891293,,,transit,3390,0.93,5595,[56]
Kepler-900b,,0.186,6.9913086,,,transit,1650,0.78,4836,[56]
Kepler-901b,,0.122,3.51749439,,,transit,790,0.59,4184,[56]
